name,brand,p/n,code,p_current,p_base,discount,tax,rating,opinions,cpu,cpu_ghz_min,cpu_ghz_max,ram,ram_mhz,ram_gb,gpu,disk1,disk1_gb,disk1_type,disk2,disk2_gb,disk2_type,display,display_inch,display_width,display_height,date,url
"HP Pavilion Gaming 15-EC0007NS AMD Ryzen 5 3550H/8GB/256GB SSD/GTX1050/15.6""",HP,9PV72EA#ABE,259290,499.0,549.0,10.0,21.0,88.3,65," AMD Ryzen 5 3550H con gráficos Radeon? Vega 8 (reloj base 2,1 GHz, incremento máximo hasta 3,7 GHz, 6 MB de caché , 4 núcleos)",2.1,3.7, RAM SDRAM de 8 GB DDR4-2400 (2 x 4 GB),2400,8, NVIDIA® GeForce® GTX 1050 (GDDR5 de 3 GB dedicada), SSD de 256 GB PCIe® NVMe M.2,256,SSD,,,," FHD SVA de 15,6"" (39,6 cm) en diagonal antireflectante de microborde con retroiluminación WLED (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/hp-pavilion-gaming-15-ec0007ns-amd-ryzen-5-3550h-8gb-256gb-ssd-gtx1050-156
"Toshiba Satellite Pro R40-D-111 Intel Celeron 3865U/4GB/128GB SSD/14""",Toshiba,PS481E-05501KCE,188258,239.0,299.0,21.0,21.0,90.6,66," Intel® Celeron® 3865U (1.80GHz, 2MB)",1.8,, RAM 4 GB DDR3L 2133 (4+0),2133,4, Intel® HD Graphics 610, 128 GB M.2 SATA,128,SATA,,,," 35,6 cm (14,0 "") Pantalla Toshiba HD antirreflejos con 16 : 9 de relación de aspecto y retroiluminación LED 1.366 x 768 (HD)",14.0,1366,768,2020-04-01,https://www.pccomponentes.com/toshiba-satellite-pro-r40-d-111-intel-celeron-3865u-4gb-128gb-ssd-14
"HP 15S-FQ1040NS Intel Core i5-1035G1/8GB/512GB SSD/15.6""",HP,8PS40EA,252513,499.0,499.0,0.0,21.0,83.5,40," i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel®Turbo Boost, 6 MB de caché, 4 núcleos)",1.0,3.6, RAM SDRAM DDR4-2666 de 8 GB (1 x 8 GB)Velocidades de transferencia de hasta 2666 MT/s),2666,8, Gráficos Intel® UHD, SSD de 512 GB PCIe® NVMe? M.2,512,SSD,,,," Pantalla con retroiluminación WLED antirreflejo HD SVA de 39,6 cm (15,6 pulgadas) en diagonal de tipo micro-edge (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15s-fq1040ns-intel-core-i5-1035g1-8gb-512gb-ssd-156
"MSI GF63 Thin 9SC-047XES Intel Corei7-9750H/16GB/512GB SSD/GTX 1650/15.6""",MSI,9S7-16R312-047,199206,898.0,1149.0,22.0,21.0,92.8,411, Intel Core Coffeelake refresh i7-9750H+HM370,,, 16GB DDR4 2666MHz,2666,16, GTX 1650  MAX Q GDDR5 4GB, 512GB NVMe PCIe SSD,512,SSD,,,," 15.6"" FHD (1920*1080), IPS-Level 60Hz 45%NTSCThin Bezel, typ. 250nit , CR 700",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gf63-thin-9sc-047xes-intel-corei7-9750h-16gb-512gb-ssd-gtx-1650-156
"Asus VivoBook D509DA-EJ098 AMD Ryzen 7 3700U/8GB/512GB SSD/15.6""",Asus,D509DA-EJ098,261637,549.0,549.0,0.0,21.0,88.3,77," AMD® Ryzen 7 3700U (4 Núcleos, 8 Subprocesos, Caché: 4MB Level 3, 2.3GHz hasta 4.0GHz, 64-bit)",2.3,4.0, RAM 8GB (4GB + 4GB [EN PLACA]) DDR4 2400MHz,2400,8, AMD® Radeon™ RX Vega 10 Graphics, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD," 15.6"" (39,62cm) LED Retroiluminado / 60Hz / NanoEdge (Borde Estrecho) / Ultra Slim / 200nits / FullHD / Antirreflejos / NTSC:45%",15.6,,,2020-04-01,https://www.pccomponentes.com/asus-vivobook-d509da-ej098-amd-ryzen-7-3700u-8gb-512gb-ssd-156
"HP Pavilion Gaming 15-DK0020NS Intel Core i5-9300H/16GB/512GB SSD/GTX 1050/15.6""",HP,8PK55EA,252591,699.0,699.0,0.0,21.0,92.3,52," Intel® Core?  i5-9300H (frecuencia base de 2,4 GHz, hasta 4,1 GHz con Tecnología Intel® Turbo Boost, 8 MB de caché, 4 núcleos)",2.4,4.1," RAM SDRAM DDR4-2666 de 16 GB (2 x 8 GB), velocidades de transferencia de hasta 2666 MT/s",2666,16,  NVIDIA® GeForce® GTX 1050 (GDDR5 de 3 GB dedicada), SSD de 512 GB PCIe® NVMe? M.2,512,SSD,,,," FHD IPS de 15,6"" (39,6 cm) en diagonal antirreflectante de microborde con retroiluminación WLED (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/hp-pavilion-gaming-15-dk0020ns-intel-core-i5-9300h-16gb-512gb-ssd-gtx-1050-156
"Lenovo Ideapad S145-15AST AMD A9-9425/8GB/512GB SSD/15.6""",Lenovo,81N300AJSP,250924,419.0,419.0,0.0,21.0,85.1,55," AMD A9-9425 (2C / 2T, 3.1 / 3.7GHz, 1MB L2)",3.1,3.7, RAM 8GB DIMM DDR4-2133,2133,8, AMD Radeon R5 Graphics, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15ast-amd-a9-9425-8gb-512gb-ssd-156
"HP Notebook 255 G7 AMD A4-9125/4GB/1TB/15.6""",HP,6MR14EA,202724,269.0,269.0,0.0,21.0,84.7,118," AMD A4-9125 (1MB Cache, 2.3GHz)",2.3,, RAM 4GB (1866MHz) DDR4-SDRAM (1 x 4),1866,4, AMD Radeon R3, 1000GB HDD,1000,HDD,,,," 39.6 cm (15.6"") HD 1366 x 768 SVA",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-notebook-255-g7-amd-a4-9125-4gb-1tb-156
"Asus TUF Gaming FX505GT-BQ024 Intel Core i7-9750H/16GB/1TB+256GB SSD/GTX 1650/15.6""",Asus,FX505GT-BQ024,243591,898.0,1199.0,26.0,21.0,88.4,372," Intel® Core? i7-9750H (6 Núcleos, 12 Subprocesos, Caché: 12MB Level 3, 2.6GHz hasta 4.5GHz, 64-bit)",2.6,4.5, RAM 16GB (8GB*2) DDR4 2666MHz,2666,16, NVIDIA® GeForce® GTX 1650 4GB GDDR5 VRAM, 256GB SSD M.2 PCIe® NVMe ,256,SSD,  1TB 5400rpm SATA,256,SATA," 15.6"" LED FullHD (1920 x 1080) 16:9 IPS Antirreflejos",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-tuf-gaming-fx505gt-bq024-intel-core-i7-9750h-16gb-1tb-256gb-ssd-gtx-1650-156
"Asus TUF Gaming FX505DV-AL014 AMD Ryzen 7 3750H/16GB/512GB SSD/RTX 2060/15.6""",Asus,FX505DV-AL014,248855,979.0,1199.0,19.0,21.0,83.7,38," AMD® Ryzen? 7 3750H APU (4 Núcleos, 6MB Caché, 2.3GHz hasta 4.0GHz, 64-bit)",2.3,4.0, RAM 16GB (8GB*2) DDR4 2666MHz,2666,16, NVIDIA® GeForce® RTX 2060 6GB GDDR6 VRAM, 512GB SSD M.2 PCIe® Gen3 NVMe,512,SSD,,,," 15.6"" LED FullHD (1920 x 1080) 16:9 IPS Antirreflejos 120Hz 250nits",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-tuf-gaming-fx505dv-al014-amd-ryzen-7-3750h-16gb-512gb-ssd-rtx-2060-156
"MSI GL75 9SEK-074XES Intel Core i7-9750H/16GB/1TB SSD/RTX 2060/17.3""",MSI,9S7-17E512-074,226141,1299.0,1399.0,8.0,21.0,91.9,143," Intel Core Coffeelake refresh i7-9750H+HM370 (12 MB de caché, hasta 4,50 GHz)",,4.5, DDR IV 8GB*2 (2666MHz),2666,16," GeForce® RTX 2060, GDDR6 6GB", 1TB NVMe PCIe Gen3x4 SSD,1000,SSD,,,," 17.3"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",17.3,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gl75-9sek-074xes-intel-core-i7-9750h-16gb-1tb-ssd-rtx-2060-173
"Lenovo Ideapad S145-15IWL Intel Core i5-8265U/8GB/512GB SSD/15.6""",Lenovo,81MV00MKSP,281002,579.0,649.0,11.0,21.0,94.3,7," Intel Core i5-8265U (4C / 8T, 1.6 / 3.9GHz, 6MB)",1.6,3.9, RAM 8GB DIMM DDR4-2400,2400,8, Intel UHD Graphics 620, 512GB SSD M.2 2242 PCIe NVMe 3.0,512,SSD, 512GB SSD M.2 2242 PCIe NVMe 3.0,512,SSD," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15iwl-intel-core-i5-8265u-8gb-512gb-ssd-156
"MSI GF65 Thin 9SEXR-237XES Intel Core i5-9300H/16GB/512GB SSD/RTX 2060/15.6""",MSI,9S7-16W112-237,256418,979.0,1199.0,19.0,21.0,84.2,57," Intel® Core™ i5 9300H (frecuencia base de 2,4 GHz, hasta 4.1 GHz con tecnología Intel® TurboBoost, 8 MB de caché, 4 núcleos)",2.4,4.1, RAM DDR IV 8GB*2 (2666MHz),2666,16," RTX 2060, GDDR6 6GB", 512GB NVMe PCIe SSD,512,SSD,,,," 15.6"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gf65-thin-9sexr-237xes-intel-core-i5-9300h-16gb-512gb-ssd-rtx-2060-156
"Asus VivoBook S14 S433FL-EB008T Intel Core i5-10210U/8GB/512GB SSD/MX250/14""",Asus,S433FL-EB008T,258589,749.0,849.0,12.0,21.0,95.0,32," Intel® Core i5-10210U (4 Núcleos, 8 Subprocesos, Caché: 6MB SmartCache, 1.60GHz hasta 4.20GHz, 64-bit)",1.6,4.2, RAM 8GB (8GB [EN PLACA]) DDR4 2666MHz,2666,8, NVIDIA® GeForce® MX250  2GB GDDR5 VRAM, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD," 14"" (35,56cm) LED Retroiluminado / 60Hz / NanoEdge (Borde Estrecho) / 250nits / FHD (1920x1080/16:9) / Antirreflejos / NTSC:45% / IPS / Ángulo de Visión de 178°",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-vivobook-s14-s433fl-eb008t-intel-core-i5-10210u-8gb-512gb-ssd-mx250-14
"Lenovo V155 AMD Ryzen R5 3500U/8GB/512GB SSD/15.6""",Lenovo,81V5001ASP,253103,508.26,508.26,0.0,21.0,90.4,50, AMD Ryzen R5 3500U (hasta 2.1 GHz),,2.1, RAM 8GB DDR4-2400MHz,2400,8, AMD Radeon," 512GB SSD 2.5"" SATA3",512,SSD,,,," 15.6"" LED HD (1366x768) 16:9",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/lenovo-v155-amd-ryzen-r5-3500u-8gb-512gb-ssd-156
"Acer Aspire 3 A315-54K-59NZ Intel Core i5-10210U/8GB/512GB SSD/15.6""",Acer,NX.HM2EB.00C,247357,499.0,499.0,0.0,21.0,78.7,77, Intel® Core? i5-10210U 1.6 GHz 6MB,1.6,, RAM 8 GB DDR4 SDRAM,,8, Intel® HD Graphics 620, 512 GB SSD,512,SSD,,,," 15.6"" HD Acer ComfyView FHD (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/acer-aspire-3-a315-54k-59nz-intel-core-i5-10210u-8gb-512gb-ssd-156
"Lenovo IdeaPad S145-15IIL Intel Core i5-1035G1/8 GB/512GB SSD/15.6""",Lenovo,81W800BDSP,280976,599.0,599.0,0.0,21.0,100.0,5," Intel Core i5-1035G1 (4C / 8T, 1.0 / 3.6GHz, 6MB)",1.0,3.6, RAM 4GB Soldered DDR4-2666 + 4GB DIMM DDR4-2666,2666,8, Integrated Intel UHD Graphics 620, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15iil-intel-core-i5-1035g1-8-gb-512gb-ssd-156
"Apple MacBook Air Intel Core i5/8GB/128GB SSD/13"" Plateado",Apple,MQD32Y/A,132884,889.0,999.0,12.0,21.0,91.8,212, Intel Core i5 de doble núcleo a 1.8 GHz de quinta generación,1.8,, RAM 8 GB de memoria LPDDR3 a 1.600 MHz,1600,8, Intel HD Graphics 6000, SSD PCIe 128 Gb,128,SSD,,,, retroiluminada por LED de 13.3 pulgadas (en diagonal),13.3,,,2020-04-01,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-128gb-ssd-13-plateado
"Asus R540MA-GQ757 Intel Celeron N4000/4GB/256GB SSD/15.6""",Asus,R540MA-GQ757,228608,209.99,209.99,0.0,21.0,81.4,71," Intel® Celeron® N4000 (2 Núcleos, 2 Subprocesos, Caché: 4MB, 1.10GHz hasta 2.60GHz, 64-bit)",1.1,2.6, RAM 4GB DDR4 LPDDR4 2400MHz,2400,4, Intel® UHD Graphics 600, 256GB SSD SATA3,256,SSD,,,," 15.6"" (39,62cm) LED Retroiluminado / 60Hz / Ultra Slim / 200nits / HD (1366x768/16:9) / Antirreflejos / NTSC:45%",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/asus-r540ma-gq757-intel-celeron-n4000-4gb-256gb-ssd-156
"MSI GF75 Thin 9SC-277XES Intel Core i7-9750H/16GB/512GB SSD/GTX1650/17.3""",MSI,9S7-17F212-277,243235,999.0,1249.0,21.0,21.0,92.9,68, Intel® Core? i7-9750H 2.4 GHz,2.4,, RAM 16GB DDR4-(2666MHz),2666,16," GeForce® GTX 1650 ,GDDR5 4GB", 512GB NVMe PCIe SSD,512,SSD,,,," 17.3"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",17.3,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gf75-thin-9sc-277xes-intel-core-i7-9750h-16gb-512gb-ssd-gtx1650-173
"Lenovo Ideapad S145-15AST AMD A6-9225/8GB/256 GB SSD/15.6""",Lenovo,81N300A4SP,254365,249.0,249.0,0.0,21.0,88.0,148," AMD A6-9225 (2C / 2T, 2.6 / 3.0GHz, 1MB / L2)",2.6,3.0, RAM 8GB DIMM DDR4-2133,2133,8, AMD Radeon R4 Graphics," 256GB SSD 2.5"" SATA6Gb/s",256,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15ast-amd-a6-9225-8gb-256-gb-ssd-156
"HP Notebook 250 G7 Intel Core i3-7020U/8GB/256 SSD/15.6""",HP,6BP62EA,204368,465.99,465.99,0.0,21.0,91.0,20," Intel® Core? i3-7020U con gráficos Intel® HD 620 (2,3 GHz, 3 MB de caché, 2 núcleos)",2.3,, RAM  8 GB DDR4-2133 SDRAM (1 x 8 GB) (Velocidades de transferencia de hasta 2133 MT/s.),2133,8, Intel® HD Graphics 620, SSD SATA M.2 de 256 GB,256,SSD,,,," Pantalla de 39,6 cm (15,6 pulgadas) 1366 x 768",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-notebook-250-g7-intel-core-i3-7020u-8gb-256-ssd-156
"Asus Rog Strix G531GV-AL172 Intel Core i7-9750H/16GB/1TB SSD/RTX2060/15.6""",Asus,G531GV-AL172,243523,1199.0,1599.0,26.0,21.0,93.4,100," Intel® Core? i7-9750H (6 Núcleos, 12MB Caché, 2.6GHz hasta 4.5GHz, 64-bit)",2.6,4.5," RAM 16GB (8GB*2) DDR4 2666MHz, ampliables hasta 32GB",2666,16, NVIDIA® GeForce® RTX? 2060 6GB GDDR6 VRAM,  1TB SSD M.2 PCIe® Gen3 NVMe,1000,SSD,,,," 15,6"" - 39,62cm / LED Retroiluminado / FHD (1920x1080/16:9) / 120Hz / 250nits / Antirreflejos / NTSC 45% / SRGB 67% / Adobe 50% / Contraste 1000:1 / IPS / Ángulo de Visión de 170°",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-rog-strix-g531gv-al172-intel-core-i7-9750h-16gb-1tb-ssd-rtx2060-156
"Lenovo Ideapad S145-15IWL Intel Core i3-8145/8GB/512GB SSD/15.6""",Lenovo,81MV010QSP,250928,499.0,499.0,0.0,21.0,80.8,25," Intel Core i3-8145U (2C / 4T, 2.1 / 3.9GHz, 4MB)",2.1,3.9, RAM 8GB DIMM DDR4-2400,2400,8, Intel UHD Graphics 620, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15iwl-intel-core-i3-8145-8gb-512gb-ssd-156
"Lenovo V130-15IKB Intel Pentium 4417U/8GB/256 GB SSD/15.6""",Lenovo,81HN00VYSP,254402,259.0,259.0,0.0,21.0,87.1,34, Intel Pentium 4417U 2.3 GHz,2.3,, RAM 8GB,,8, Intel UHD Graphics 610, 256GB SSD M.2 PCIe NVMe,256,SSD,,,," 15.6"" 1366 x 768",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/lenovo-v130-15ikb-intel-pentium-4417u-8gb-256-gb-ssd-156
"HP 15-DB0109NS AMD A9-9425/8GB/256GB SSD/15.6""",HP,7WC19EA#ABE,228812,299.0,299.0,0.0,21.0,89.8,49," AMD A9-9425 Dual-Core (frecuencia base de 3,1 GHz, frecuencia de ráfaga de hasta 3,7 GHz, 1 MB de caché)",3.1,3.7, RAM 8 GB DDR4-1866 SDRAM (1 x 8 GB),1866,8, Gráficos AMD Radeon? R4;, SSD M.2 de 256 GB,256,SSD,,,," Pantalla con retroiluminación WLED antirreflejo HD SVA de 39,6 cm (15,6"") en diagonal (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15-db0109ns-amd-a9-9425-8gb-256gb-ssd-156
"Acer Aspire 5 A515-54-735N Intel Core i7-10510U/8GB/512GB SSD/15.6""",Acer,NX.HN2EB.001,244030,687.42,687.42,0.0,21.0,84.4,135, Intel® Core? i7-10510U 1.8 GHz 8MB,1.8,, RAM 8 GB DDR4 Memory,,8, Intel® UHD Graphics 620, 512GB PCIe NVMe SSD,512,SSD,,,," 15.6"" FHD Acer ComfyView LED LCD FHD (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/acer-aspire-5-a515-54-735n-intel-core-i7-10510u-8gb-512gb-ssd-156
"Lenovo V145-15AST AMD A9-9425/8GB/256GB SSD/15.6""",Lenovo,81MT000VSP,248829,358.0,358.0,0.0,21.0,90.8,26," AMD A9-9425 (frecuencia base de 3,1 GHz, frecuencia de ráfaga de hasta 3,7 GHz, 1 MB de caché)",3.1,3.7, RAM 8GB DDR4-2133,2133,8, AMD Radeon? R5, 256 GB SSD,256,SSD,,,," LED 15.6"" 1920x1080 FullHD",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-v145-15ast-amd-a9-9425-8gb-256gb-ssd-156
"HP 15S-EQ0011NS AMD Ryzen 3 3200U/8GB/512GB SSD/15.6""",HP,9PW19EA#ABE,259284,355.0,399.0,12.0,21.0,91.4,7," AMD Ryzen 3 3200U (4MB Cache, 2.6GHz)",2.6,, RAM 8GB (2400MHz) DDR4-SDRAM (1 x 8),2400,8, AMD Radeon™ Vega 3 Graphics, 512 GB PCIe® NVMe™ M.2 SSD,512,SSD,,,," 39.6 cm (15.6"") diagonal HD SVA anti-glare micro-edge WLED-backlit, 220 nits, 45% NTSC (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15s-eq0011ns-amd-ryzen-3-3200u-8gb-512gb-ssd-156
"Lenovo V145-15AST AMD A4-9125/8GB/256GB SSD/15.6""",Lenovo,81MT001SSP,208436,299.0,299.0,0.0,21.0,84.3,23," AMD A4-9125 (2C, 2.3 / 2.6GHz, 1MB)",2.3,2.6, RAM 8GB DDR4 2133 (1/1 sockets),2133,8, AMD Radeon? R3, 256GB SSD,256,SSD,,,," 15.6"" 1366x768 HD (LED Mate)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/lenovo-v145-15ast-amd-a4-9125-8gb-256gb-ssd-156
"Lenovo Ideapad C340-14API AMD Ryzen 5 3500U/8GB/256GB SSD/14"" Táctil",Lenovo,81N6006HSP,252509,599.0,599.0,0.0,21.0,84.1,29," AMD Ryzen 5 3500U (4C / 8T, 2.1 / 3.7GHz, 2MB L2 / 4MB L3)",2.1,3.7, RAM 4GB Soldered + 4GB DIMM DDR4-2400,2400,8, Integrated AMD Radeon Vega 8 Graphics, 256GB SSD M.2 2280 PCIe NVMe,256,SSD,,,," 14"" FHD (1920x1080) TN 220nits Glossy 10-point Multi-touch",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-c340-14api-amd-ryzen-5-3500u-8gb-256gb-ssd-14-tactil
"Lenovo IdeaPad S145-15IIL Intel Core i7-1065G7/8 GB/512GB SSD/15.6""",Lenovo,81W800BESP,280987,699.0,699.0,0.0,21.0,90.0,2," Intel Core i7-1065G7 (4C / 8T, 1.3 / 3.9GHz, 8MB)",1.3,3.9, RAM 4GB Soldered DDR4-2666 + 4GB DIMM DDR4-2666,2666,8, Integrated Intel UHD Graphics 620, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15iil-intel-core-i7-1065g7-8-gb-512gb-ssd-156
"Lenovo Ideapad 330-15AST AMD A6-9225/4GB/128GB SSD/15.6""",Lenovo,81D600SDSP,258755,209.0,299.0,31.0,21.0,70.0,6," AMD A6-9225 (2C / 2T, 2.6 / 3.0GHz, 1MB L2)",2.6,3.0, RAM 4GB DIMM DDR4-2133,2133,4, Integrada," 128GB SSD 2.5"" SATA6Gb/s",128,SSD,,,," 15.6"" HD (1366x768) TN 200nits Anti-glare",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-330-15ast-amd-a6-9225-4gb-128gb-ssd-156
